TGLREPLENISH,JAMREPLENISH,ATMID,TYPEATMCRM,TELLERID,CABANG,ESCROW,REFUNDDENOM50K,REFUNDDENOM100K,REFUNDTOTAL,REPLENISHDENOM50K,REPLENISHDENOM100K,REPLENISHTOTAL
1260818,91552,"ZZRH      ",CRM,"W42H      ",39072,0000000000000000000,6945000000,15390000000,22335000000,5000000000,10000000000,15000000000
1260818,133035,"H086      ",CRM,"W51S      ",47007,0000000800184550900,0,0,0,0,0,0
1260818,102659,"ZZ0J      ",CRM,"W03J      ",47007,0000000800164118500,620000000,25630000000,26250000000,3000000000,28000000000,31000000000
1260818,104904,"H225      ",CRM,"W58C      ",23049,0000000000000000000,2305000000,8210000000,10515000000,5000000000,10000000000,15000000000
1260818,194905,"A569      ",ATM50K,"Z6QI      ",47007,0000000800164118500,0,0,0,40000000000,0,40000000000
1260818,105534,"A027      ",ATM50K,"Z4D0      ",47007,0000000800164118500,7340000000,0,7340000000,32000000000,0,32000000000
1260818,105149,"4139      ",ATM50K,"Z2Y4      ",34047,0000000000000000000,11595000000,0,11595000000,20000000000,0,20000000000
1260818,123029,"ZZNI      ",CRM,"W38I      ",39022,0000000000000000000,10885000000,36170000000,47055000000,2000000000,4000000000,6000000000
1260818,105838,"ZZCO      ",CRM,"W25O      ",39066,0000000000000000000,3000000000,8070000000,11070000000,5000000000,10000000000,15000000000
1260818,163637,"5060      ",ATM50K,"Z1OA      ",47007,0000000800164118500,2380000000,0,2380000000,37500000000,0,37500000000
1260818,93220,"8277      ",ATM100K,"Z2MY      ",34006,0000000000000000000,0,5730000000,5730000000,0,10000000000,10000000000
1260818,112126,"ZZB9      ",CRM,"W24B      ",12,0000000000000000000,2000000000,4030000000,6030000000,3000000000,5000000000,8000000000
1260818,102120,"ZZEN      ",CRM,"W27N      ",29000,0000000000000000000,920000000,11050000000,11970000000,2000000000,4000000000,6000000000
1260818,115251,"4072      ",ATM50K,"Z1L8      ",47007,0000000800151986200,8090000000,0,8090000000,30000000000,0,30000000000
1260818,113942,"ZZZ3      ",CRM,"W19Z      ",39083,0000000000000000000,1335000000,700000000,2035000000,1000000000,2000000000,3000000000
1260818,141654,"B670      ",ATM50K,"Z8ZT      ",47007,0000000800178538600,1675000000,0,1675000000,7000000000,0,7000000000
1260818,121248,"6347      ",ATM100K,"Z1YY      ",34053,0000000000000000000,0,25970000000,25970000000,0,20000000000,20000000000
